fn,artist,title,year,slug
"Aaron Douglas,Building more Stately Mansions,1944",Aaron Douglas,Building more Stately Mansions,1944,building-more-stately-mansions
"Aaron Douglas,Negro in African Setting, 1934",Aaron Douglas,Negro in African Setting,1934,negro-in-african-setting
"Archibald Motley, Cocktails, 1926",Archibald Motley,Cocktails,1926,cocktails
"William H. Johnson, Church on Lennox Avenue, 1940",William H. Johnson,Church on Lennox Avenue,1940,church-on-lennox-avenue
"William Edouard Scott, Rainy Night at Etaples, 1912",William Edouard Scott,Rainy Night at Etaples,1912,rainy-night-at-etaples
"Walter Sanford, Tabu, 1951",Walter Sanford,Tabu,1951,tabu
"Nancy Elizabeth Prophet,Congolaise,1931",Nancy Elizabeth Prophet,Congolaise,1931,congolaise
"Lois Mailou Jones, Self Portrait, 1940",Lois Mailou Jones,Self Portrait,1940,self-portrait
"Norman Lewis,The Wanderer,1933",Norman Lewis,The Wanderer,1933,the-wanderer
"Horace Pippin, Domino Players, 1943",Horace Pippin,Domino Players,1943,domino-players
"Allan Randall Freelon,Gloucester Harbor,1929",Allan Randall Freelon,Gloucester Harbor,1929,gloucester-harbor
"Allan Randall Freelon, The New Negro, 1949",Allan Randall Freelon,The New Negro,1949,the-new-negro
"Archibald Motley, Black Belt, 1934",Archibald Motley,Black Belt,1934,black-belt
"Jacob Lawrence,Harriet Tubman Series, 1940",Jacob Lawrence,Harriet Tubman Series,1940,harriet-tubman-series
"William H. Johnson, Harlem Street,1941",William H. Johnson,Harlem Street,1941,harlem-street
"Jacob Lawrence,Pool Parlor, 1942",Jacob Lawrence,Pool Parlor,1942,pool-parlor
"Lois Mailou Jones, Jennie, 1943",Lois Mailou Jones,Jennie,1943,jennie
"Charles Alston,A Step in the Right Direction,1943",Charles Alston,A Step in the Right Direction,1943,a-step-in-the-right-direction
"Norman Lewis, Untitled, 1943",Norman Lewis,Untitled,1943,untitled
"Horace Pippin, The Wash, 1940",Horace Pippin,The Wash,1940,the-wash
"Jacob Lawrence, The Photographer, 1942",Jacob Lawrence,The Photographer,1942,the-photographer
"James Lesesne Wells,Builders,1929",James Lesesne Wells,Builders,1929,builders
"William Edouard Scott, Hallie's Red, 1920",William Edouard Scott,Hallie's Red,1920,hallie-s-red
"Augusta Savage,Garmin,1929",Augusta Savage,Garmin,1929,garmin
"Archibald Motley, Blues, 1929",Archibald Motley,Blues,1929,blues
"Charles Alston,Dancers,1949",Charles Alston,Dancers,1949,dancers
"Henry Ossawa Tanner,Flight Into Egypt,1922",Henry Ossawa Tanner,Flight Into Egypt,1922,flight-into-egypt
"William H. Johnson, Going to Church,1941",William H. Johnson,Going to Church,1941,going-to-church
"Lois Mailou Jones, Ascent of Ethiopia, 1932",Lois Mailou Jones,Ascent of Ethiopia,1932,ascent-of-ethiopia
"Charles Alston,New York Cityscape,1948",Charles Alston,New York Cityscape,1948,new-york-cityscape
"Charles Clarence Dawson, poster, 1934",Charles Clarence Dawson,poster,1934,poster
"Lois Mailou Jones, Mob Victim Meditation, 1944",Lois Mailou Jones,Mob Victim Meditation,1944,mob-victim-meditation
"Aaron Douglas, The Judgement Day, 1939",Aaron Douglas,The Judgement Day,1939,the-judgement-day
"Augusta Savage, Portrait of a Baby, 1942",Augusta Savage,Portrait of a Baby,1942,portrait-of-a-baby
"Walter Sanford, Study in Black and White, 1949",Walter Sanford,Study in Black and White,1949,study-in-black-and-white
"Norman Lewis,Meeting Place, 1941",Norman Lewis,Meeting Place,1941,meeting-place
"Elizabeth Catlett, Sharecropper,1952",Elizabeth Catlett,Sharecropper,1952,sharecropper
"James Lesesne Wells,Barry Place,1932",James Lesesne Wells,Barry Place,1932,barry-place
"Jacob Lawrence, The Migration of the Negro Panel 1, 1941",Jacob Lawrence,The Migration of the Negro Panel 1,1941,the-migration-of-the-negro-panel-1
"Meta Vaux Warrick Fuller, Sorrow, 1934",Meta Vaux Warrick Fuller,Sorrow,1934,sorrow
"James Lesesne Wells,Looking Upward,1928",James Lesesne Wells,Looking Upward,1928,looking-upward
"Allan Randall Freelon, Factory,N.D.",Allan Randall Freelon,Factory,N.D.,factory
"James Lesesne Wells,The Negro Worker,1938",James Lesesne Wells,The Negro Worker,1938,the-negro-worker
"Henry Ossawa Tanner,War Scene,1914",Henry Ossawa Tanner,War Scene,1914,war-scene
